content,author,date,retweets,likes,url
"The Real Cost of Food Delivery in SingaporeHow much more are you really paying when you order from foodpanda, GrabFood or Deliveroo? If online food delivery was a convenience before, the COVID-19...",SingSaver via Yahoo Singapore Finance,2021-03-19,,,https://sg.finance.yahoo.com/news/real-cost-food-delivery-singapore-071803384.html
"How To Dodge Grab’s Newly Announced $1 Fee On GrabPay Top-upsThis fee will be waived for all top-ups of at least $400 in a single transaction, and does not apply...",SingSaver via Yahoo Singapore Finance,2021-03-17,,,https://sg.finance.yahoo.com/news/dodge-grab-newly-announced-1-100025513.html
Gift Cards To Get For Every Personality On Any OccasionTable of contents Why gift cards are a fantastic choice Gift vouchers for all types of personality...,SingSaver via Yahoo Singapore Finance,2021-03-19,,,https://sg.finance.yahoo.com/news/gift-cards-every-personality-occasion-030203540.html
